state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Uttar Pradesh,Large,2024-25,2024,8,August,5,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2024-066ec0750cd03d2-84192477.pdf,2026-03-01T10:51:09.137233
Uttar Pradesh,Large,2024-25,2024,12,Dec,9,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2024-0678e2eec6771c6-03331965.pdf,2026-03-01T10:51:11.831502
Uttar Pradesh,Large,2025-26,2025,7,July,4,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-068a46d35414a36-03282461.pdf,2026-03-01T10:50:51.579539
Uttar Pradesh,Large,2025-26,2025,8,August,5,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-08-2025-068cd308ed7bcc4-49437760.pdf,2026-03-01T10:50:53.923373
Uttar Pradesh,Large,2025-26,2025,9,September,6,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-068f236f8c01550-66343235.pdf,2026-03-01T10:50:56.781178
Uttar Pradesh,Large,2025-26,2025,10,October,7,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-10-2025-0691c5ad0a4be80-69990310.pdf,2026-03-01T10:50:59.182017
Uttar Pradesh,Large,2025-26,2025,11,November,8,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2025-0693feb3a4f45d6-63117654.pdf,2026-03-01T10:51:01.629265
Uttar Pradesh,Large,2025-26,2025,12,December,9,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC-2025-06968cf2584e023-80618651.pdf,2026-03-01T10:51:04.257627
Uttar Pradesh,Large,2024-25,2024,4,April,1,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2024-24-05-2024-0665038f8049ab6-56435422.pdf,2026-03-01T10:51:06.653914
Uttar Pradesh,Large,2024-25,2024,8,August,5,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2024-066ec0750cd03d2-84192477.pdf,2026-03-01T10:51:09.137233
Uttar Pradesh,Large,2024-25,2024,12,Dec,9,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2024-0678e2eec6771c6-03331965.pdf,2026-03-01T10:51:11.831502
Uttar Pradesh,Large,2025-26,2025,7,July,4,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-068a46d35414a36-03282461.pdf,2026-03-01T10:50:51.579539
Uttar Pradesh,Large,2025-26,2025,8,August,5,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-08-2025-068cd308ed7bcc4-49437760.pdf,2026-03-01T10:50:53.923373
