state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Kerala,Large,2024-25,2024,7,July,4,capital_receipts,Capital Receipts,Receipts,Capital,46199.54,18546.56,6105.180000000002,40.14,43.15,-3.01,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-24-English-066c31ed197e010-04753888.pdf,2026-03-01T10:24:05.442296
Kerala,Large,2024-25,2024,8,August,5,capital_receipts,Capital Receipts,Receipts,Capital,46199.54,24383.38,5836.82,52.78,59.4,-6.62,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-24-English-066e41a0d8399b1-11682600.pdf,2026-03-01T10:24:08.181052
Kerala,Large,2024-25,2024,9,September,6,capital_receipts,Capital Receipts,Receipts,Capital,46199.55,26966.68,2583.2999999999997,58.37,62.17,-3.8,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-24-English-1-06707c4ce7a3f45-26513500.pdf,2026-03-01T10:24:10.807317
Kerala,Large,2024-25,2024,11,November,8,capital_receipts,Capital Receipts,Receipts,Capital,46199.54,29574.28,2607.5999999999985,64.01,72.42,-8.41,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November24-English-0675bbd2027c3d2-24376002.pdf,2026-03-01T10:24:13.462428
Kerala,Large,2024-25,2024,12,December,9,capital_receipts,Capital Receipts,Receipts,Capital,45689.53,36064.17,6489.889999999999,78.93,81.55,-2.62,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-24-English-067a59e4b418b32-22497693.pdf,2026-03-01T10:24:15.901615
Kerala,Large,2024-25,2025,1,January,10,capital_receipts,Capital Receipts,Receipts,Capital,45689.54,36336.37,272.2000000000044,79.53,81.32,-1.79,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2025-English-067b32e96918cd0-41861784.pdf,2026-03-01T10:24:18.258864
Kerala,Large,2024-25,2025,2,February,11,capital_receipts,Capital Receipts,Receipts,Capital,45689.54,42068.6,5732.229999999996,92.07,59.7,32.37,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2025-English-067d14fc0108662-49433545.pdf,2026-03-01T10:24:20.571372
Kerala,Large,2025-26,2025,4,April,1,capital_receipts,Capital Receipts,Receipts,Capital,46234.74,8189.08,8189.08,17.71,18.95,-1.24,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-English-06826fe31876ca7-45473689.pdf,2026-03-01T10:23:29.679708
Kerala,Large,2025-26,2025,5,May,2,capital_receipts,Capital Receipts,Receipts,Capital,46234.75,13909.55,5720.469999999999,30.08,29.35,0.73,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2025-English-0684be368752513-80537452.pdf,2026-03-01T10:23:32.465699
Kerala,Large,2025-26,2025,6,June,3,capital_receipts,Capital Receipts,Receipts,Capital,46234.75,18572.47,4662.920000000002,40.17,26.94,13.23,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-jUNE-2025-English-06870ff0596b584-84700173.pdf,2026-03-01T10:23:34.889311
Kerala,Large,2025-26,2025,7,July,4,capital_receipts,Capital Receipts,Receipts,Capital,46234.75,21917.88,3345.41,47.41,40.14,7.27,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-English-0689acb2cc1e311-29196604.pdf,2026-03-01T10:23:37.416234
Kerala,Large,2025-26,2025,8,August,5,capital_receipts,Capital Receipts,Receipts,Capital,46234.74,27709.3,5791.419999999998,59.93,52.78,7.15,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2025-English-068c3fa6fb097c3-09402998.pdf,2026-03-01T10:23:40.412444
Kerala,Large,2025-26,2025,9,September,6,capital_receipts,Capital Receipts,Receipts,Capital,46234.74,31520.88,3811.5800000000017,68.18,52.78,15.4,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-English-068ee1e91765cc0-18860185.pdf,2026-03-01T10:23:44.512245
Kerala,Large,2025-26,2025,10,October,7,capital_receipts,Capital Receipts,Receipts,Capital,46234.74,33570.72,2049.84,72.61,62.69,9.92,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2025-English-0691af3f4ec0af3-44104283.pdf,2026-03-01T10:23:47.296952
Kerala,Large,2025-26,2025,11,November,8,capital_receipts,Capital Receipts,Receipts,Capital,46438.77,39965.67,6394.949999999997,86.06,64.01,22.05,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-English-0693aa7020166f8-73264331.pdf,2026-03-01T10:23:49.781398
Kerala,Large,2025-26,2025,12,December,9,capital_receipts,Capital Receipts,Receipts,Capital,46438.77,39086.97,-878.6999999999971,84.17,78.93,5.24,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-English-06964dadb861b81-72688081.pdf,2026-03-01T10:23:52.180978
Kerala,Large,2025-26,2026,1,January,10,capital_receipts,Capital Receipts,Receipts,Capital,46438.77,41196.14,2109.1699999999983,88.71,79.53,9.18,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2026-English-0698c6ffea770e7-92880186.pdf,2026-03-01T10:23:54.900897
Kerala,Large,2024-25,2024,4,April,1,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-24-English-066c32f95efaf98-09978979.pdf,2026-03-01T10:23:57.556019
Kerala,Large,2024-25,2024,5,May,2,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May24-English-066c31e9c096897-35340877.pdf,2026-03-01T10:24:00.353618
Kerala,Large,2024-25,2024,6,June,3,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-24-English-066c31e5bbc0e70-95081803.pdf,2026-03-01T10:24:02.853463
Kerala,Large,2024-25,2024,7,July,4,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-24-English-066c31ed197e010-04753888.pdf,2026-03-01T10:24:05.442296
Kerala,Large,2024-25,2024,8,August,5,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-24-English-066e41a0d8399b1-11682600.pdf,2026-03-01T10:24:08.181052
Kerala,Large,2024-25,2024,9,September,6,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-24-English-1-06707c4ce7a3f45-26513500.pdf,2026-03-01T10:24:10.807317
Kerala,Large,2024-25,2024,11,November,8,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November24-English-0675bbd2027c3d2-24376002.pdf,2026-03-01T10:24:13.462428
Kerala,Large,2024-25,2024,12,December,9,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-24-English-067a59e4b418b32-22497693.pdf,2026-03-01T10:24:15.901615
Kerala,Large,2024-25,2025,1,January,10,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2025-English-067b32e96918cd0-41861784.pdf,2026-03-01T10:24:18.258864
Kerala,Large,2024-25,2025,2,February,11,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2025-English-067d14fc0108662-49433545.pdf,2026-03-01T10:24:20.571372
Kerala,Large,2025-26,2025,4,April,1,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-English-06826fe31876ca7-45473689.pdf,2026-03-01T10:23:29.679708
Kerala,Large,2025-26,2025,5,May,2,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2025-English-0684be368752513-80537452.pdf,2026-03-01T10:23:32.465699
Kerala,Large,2025-26,2025,6,June,3,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-jUNE-2025-English-06870ff0596b584-84700173.pdf,2026-03-01T10:23:34.889311
Kerala,Large,2025-26,2025,7,July,4,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-English-0689acb2cc1e311-29196604.pdf,2026-03-01T10:23:37.416234
Kerala,Large,2025-26,2025,8,August,5,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2025-English-068c3fa6fb097c3-09402998.pdf,2026-03-01T10:23:40.412444
Kerala,Large,2025-26,2025,9,September,6,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-English-068ee1e91765cc0-18860185.pdf,2026-03-01T10:23:44.512245
Kerala,Large,2025-26,2025,10,October,7,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2025-English-0691af3f4ec0af3-44104283.pdf,2026-03-01T10:23:47.296952
Kerala,Large,2025-26,2025,11,November,8,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-English-0693aa7020166f8-73264331.pdf,2026-03-01T10:23:49.781398
Kerala,Large,2025-26,2025,12,December,9,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-English-06964dadb861b81-72688081.pdf,2026-03-01T10:23:52.180978
Kerala,Large,2025-26,2026,1,January,10,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2026-English-0698c6ffea770e7-92880186.pdf,2026-03-01T10:23:54.900897
Kerala,Large,2024-25,2024,4,April,1,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-24-English-066c32f95efaf98-09978979.pdf,2026-03-01T10:23:57.556019
Kerala,Large,2024-25,2024,5,May,2,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May24-English-066c31e9c096897-35340877.pdf,2026-03-01T10:24:00.353618
Kerala,Large,2024-25,2024,6,June,3,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-24-English-066c31e5bbc0e70-95081803.pdf,2026-03-01T10:24:02.853463
Kerala,Large,2024-25,2024,7,July,4,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-24-English-066c31ed197e010-04753888.pdf,2026-03-01T10:24:05.442296
Kerala,Large,2024-25,2024,8,August,5,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-24-English-066e41a0d8399b1-11682600.pdf,2026-03-01T10:24:08.181052
Kerala,Large,2024-25,2024,9,September,6,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-24-English-1-06707c4ce7a3f45-26513500.pdf,2026-03-01T10:24:10.807317
Kerala,Large,2024-25,2024,11,November,8,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November24-English-0675bbd2027c3d2-24376002.pdf,2026-03-01T10:24:13.462428
Kerala,Large,2024-25,2024,12,December,9,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-24-English-067a59e4b418b32-22497693.pdf,2026-03-01T10:24:15.901615
Kerala,Large,2024-25,2025,1,January,10,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2025-English-067b32e96918cd0-41861784.pdf,2026-03-01T10:24:18.258864
Kerala,Large,2024-25,2025,2,February,11,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2025-English-067d14fc0108662-49433545.pdf,2026-03-01T10:24:20.571372
Kerala,Large,2025-26,2025,4,April,1,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-English-06826fe31876ca7-45473689.pdf,2026-03-01T10:23:29.679708
Kerala,Large,2025-26,2025,5,May,2,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2025-English-0684be368752513-80537452.pdf,2026-03-01T10:23:32.465699
Kerala,Large,2025-26,2025,6,June,3,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-jUNE-2025-English-06870ff0596b584-84700173.pdf,2026-03-01T10:23:34.889311
Kerala,Large,2025-26,2025,7,July,4,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-English-0689acb2cc1e311-29196604.pdf,2026-03-01T10:23:37.416234
